"name","PRE","POST","delta_POST_minus_PRE"
"MIF",0,0.141094462091607,0.141094462091607
"COMPLEMENT",0,0.127057021651097,0.127057021651097
"ANGPTL",0.116341112689728,0,-0.116341112689728
"CDH1",0,0.0950076475590017,0.0950076475590017
"ITGB2",0,0.0946350792912809,0.0946350792912809
"ICAM",0,0.094579441097469,0.094579441097469
"TGFb",0,0.0943166123573384,0.0943166123573384
"RELN",0,0.0924800422904361,0.0924800422904361
"CSF",0,0.0896484186496472,0.0896484186496472
"PSAP",0.0892560519716482,0,-0.0892560519716482
"WNT",0.0873951375197483,0,-0.0873951375197483
"GAS",0,0.0873945528154054,0.0873945528154054
"VISFATIN",0,0.0870737771587511,0.0870737771587511
"EPHA",0,0.086870767546482,0.086870767546482
"TENASCIN",0.0830960481206767,0,-0.0830960481206767
