"name","contribution","contribution.scaled","group","contribution.relative.1"
"FN1",0.00736669635604256,0.20363339279655,"POST",3
"COLLAGEN",0.00221023283590249,0.163541459871518,"POST",4
"LAMININ",0.00143774003871245,0.15279579288224,"POST",3
"MK",0.00128688877779687,0.15025104454232,"POST",1
"MIF",0.000835524917160451,0.141094462091607,"POST",Inf
"VTN",0.000649288275037178,0.136246580303722,"POST",0.4
"SPP1",0.000461431528498613,0.130188383280524,"POST",10
"THBS",0.000440092694955871,0.129390792723875,"POST",3
"COMPLEMENT",0.000381850271653966,0.127057021651097,"POST",Inf
"CD99",0.000271790461199269,0.121795571429247,"POST",4
"FN1",0.00269676498910759,0.169041634678983,"PRE",3
"VTN",0.00185413671951691,0.158974018021264,"PRE",0.4
"MK",0.000903799598486633,0.142675681703729,"PRE",1
"COLLAGEN",0.000608105264918087,0.135040924784812,"PRE",4
"LAMININ",0.000532784462839754,0.132671856214813,"PRE",3
"APP",0.000275399487363162,0.121991568474921,"PRE",0.8
"ANGPTL",0.000184952087567955,0.116341112689728,"PRE",0
"NOTCH",0.000172864340715419,0.115433406926319,"PRE",0.004
"THBS",0.00014074147795768,0.112757548725871,"PRE",3
"SEMA4",0.00010824974492374,0.109516195753824,"PRE",0.2
